Condition,Setting,Seed,Objective J,Success,Velocity (m/s),Falls (/min),CoT,Steps to Success 0.5 (M),Interventions,Escaped
PPO,Rough (hard),0,1.418,0.969,0.899,0.4,2.312,17,0,yes
PPO,Rough (hard),1,1.412,0.965,0.895,2.3,2.228,17,0,yes
PPO,Rough (hard),2,0.377,0.051,0.652,46.6,2.931,—,0,no
LLM-PPO (v3),Rough (hard),0,1.647,0.969,1.356,0.6,1.820,13,10,yes
LLM-PPO (v3),Rough (hard),1,1.623,0.973,1.301,0.7,1.935,12,14,yes
LLM-PPO (v3),Rough (hard),2,1.634,0.988,1.291,1.0,1.948,14,12,yes
Random,Rough (hard),0,0.118,0.000,0.236,224.1,1.392,—,20,no
Random,Rough (hard),1,1.664,0.984,1.358,0.6,1.830,19,19,yes
Random,Rough (hard),2,0.119,0.000,0.239,194.3,0.749,—,19,no
Hill-climbing,Rough (hard),0,1.201,0.746,0.910,9.1,2.347,26,16,yes
Hill-climbing,Rough (hard),1,0.198,0.000,0.395,161.0,2.415,—,17,no
Hill-climbing,Rough (hard),2,1.359,0.902,0.913,4.6,1.917,20,14,yes
PPO,Stairs (medium),0,0.995,0.555,0.881,5.3,1.536,27,0,yes
PPO,Stairs (medium),1,1.021,0.586,0.871,4.6,1.609,24,0,yes
PPO,Stairs (medium),2,1.043,0.586,0.914,5.0,1.415,30,0,yes
LLM-PPO (v3),Stairs (medium),0,1.139,0.547,1.184,7.2,1.252,29,15,yes
LLM-PPO (v3),Stairs (medium),1,1.090,0.527,1.125,7.4,1.293,34,13,yes
LLM-PPO (v3),Stairs (medium),2,0.509,0.199,0.620,11.2,1.761,—,16,yes
Random,Stairs (medium),0,1.192,0.598,1.188,6.6,1.149,33,18,yes
Random,Stairs (medium),1,1.132,0.543,1.179,7.1,1.420,24,19,yes
Random,Stairs (medium),2,0.620,0.000,1.240,42.4,1.411,—,17,no
Hill-climbing,Stairs (medium),0,1.147,0.578,1.138,6.5,1.291,32,15,yes
Hill-climbing,Stairs (medium),1,0.955,0.520,0.872,5.7,1.447,35,15,yes
Hill-climbing,Stairs (medium),2,1.165,0.574,1.182,7.0,1.333,30,15,yes
PPO,"Rough (medium), naive",0,0.116,0.000,0.232,222.4,0.723,—,0,no
PPO,"Rough (medium), naive",1,0.118,0.000,0.236,220.3,0.799,—,0,no
PPO,"Rough (medium), naive",2,0.116,0.000,0.232,221.0,0.913,—,0,no
LLM-PPO (v3),"Rough (medium), naive",0,1.711,0.992,1.438,1.3,1.112,8,8,yes
LLM-PPO (v3),"Rough (medium), naive",1,1.674,0.984,1.380,2.5,1.274,12,9,yes
LLM-PPO (v3),"Rough (medium), naive",2,1.692,0.996,1.392,0.7,1.047,8,7,yes
Random,"Rough (medium), naive",0,0.117,0.000,0.234,227.3,0.521,—,20,no
Random,"Rough (medium), naive",1,0.114,0.000,0.229,233.7,1.005,—,19,no
Random,"Rough (medium), naive",2,0.117,0.000,0.235,205.5,0.577,—,19,no
Hill-climbing,"Rough (medium), naive",0,0.119,0.000,0.239,215.9,1.516,—,17,no
Hill-climbing,"Rough (medium), naive",1,0.126,0.000,0.252,199.4,1.808,—,17,no
Hill-climbing,"Rough (medium), naive",2,0.113,0.000,0.226,205.3,0.208,—,15,no
