Algorithm,Noise,Terrain,Seed,Budget (steps),Wall Time (min),Velocity (m/s),Success,CoT,Attitude RMS,Falls (/min)
ddpg,ou,flat,0,5000192,42.465,0.045,0.0,50.165,0.213,0.0
ddpg,parameter_space,flat,0,5000192,40.334,0.473,0.0,2.273,0.22,150.0
ppo,,flat,0,50036736,15.115,1.037,1.0,1.155,0.057,0.0
ppo,,flat,1,50036736,9.179,1.022,1.0,1.149,0.053,0.0
ppo,,flat,2,50036736,8.737,1.032,1.0,1.371,0.043,0.0
sac,,flat,0,5000192,69.747,0.845,1.0,1.209,0.078,0.0
sac,,flat,1,5000192,67.403,1.018,1.0,1.121,0.088,0.0
sac,,flat,2,5000192,67.618,0.555,1.0,1.965,0.084,0.0
td3,,flat,0,5000192,44.928,0.956,1.0,1.002,0.063,0.0
td3,,flat,1,5000192,43.119,0.427,1.0,1.603,0.174,0.0
td3,,flat,2,5000192,43.343,0.987,1.0,1.14,0.084,0.0
trpo,,flat,0,50036736,11.886,1.046,1.0,0.973,0.079,0.0
trpo,,flat,1,50036736,8.51,0.999,1.0,1.074,0.1,0.0
trpo,,flat,2,50036736,8.964,1.019,1.0,1.077,0.107,0.0
ppo,,rough,0,50036736,5.989,1.015,1.0,1.483,0.19,9.74
ppo,,rough,1,50036736,4.636,0.677,0.0,2.448,0.148,81.081
ppo,,rough,2,50036736,6.002,0.957,1.0,1.237,0.168,9.231
sac,,rough,0,5000192,66.509,0.939,1.0,1.042,0.131,8.955
sac,,rough,1,5000192,66.885,0.94,1.0,0.997,0.136,9.146
sac,,rough,2,5000192,66.845,0.944,1.0,1.138,0.132,8.219
td3,,rough,0,5000192,42.229,0.907,1.0,1.343,0.176,8.31
td3,,rough,1,5000192,42.089,0.86,1.0,1.366,0.128,8.174
td3,,rough,2,5000192,42.224,0.86,1.0,1.442,0.128,8.043
trpo,,rough,0,50036736,7.216,0.961,1.0,1.307,0.143,9.464
trpo,,rough,1,50036736,7.06,1.076,1.0,1.22,0.197,10.239
trpo,,rough,2,50036736,6.754,0.587,0.0,1.373,0.12,73.171
ppo,,stairs,0,50036736,6.374,1.037,1.0,1.272,0.189,10.067
ppo,,stairs,1,50036736,6.046,1.049,1.0,1.231,0.259,10.0
ppo,,stairs,2,50036736,6.32,1.038,1.0,1.334,0.186,9.615
sac,,stairs,0,5000192,66.839,1.017,1.0,1.054,0.18,9.709
sac,,stairs,1,5000192,66.825,0.981,1.0,0.956,0.163,9.524
sac,,stairs,2,5000192,66.924,0.968,1.0,1.179,0.187,9.375
td3,,stairs,0,5000192,42.537,0.98,0.0,1.177,0.145,12.295
td3,,stairs,1,5000192,42.507,0.871,0.0,1.173,0.145,11.952
td3,,stairs,2,5000192,42.5,1.017,1.0,1.245,0.198,9.74
trpo,,stairs,0,50036736,8.042,1.106,1.0,1.204,0.207,10.676
trpo,,stairs,1,50036736,7.576,1.087,1.0,1.11,0.162,10.417
trpo,,stairs,2,50036736,7.995,1.084,1.0,1.351,0.181,10.417
