Terrain,Algorithm,Velocity (m/s),SD,Success Rate,Cost of Transport,Attitude RMS (rad),Falls (/min),Path Efficiency
flat,ppo,1.03,0.008,1.0,1.225,0.051,0.0,0.996
flat,sac,0.806,0.234,1.0,1.432,0.083,0.0,0.757
flat,td3,0.79,0.315,1.0,1.249,0.107,0.0,0.882
flat,trpo,1.021,0.023,1.0,1.041,0.095,0.0,0.974
rough,ppo,0.883,0.181,0.667,1.723,0.169,33.351,0.973
rough,sac,0.941,0.002,1.0,1.059,0.133,8.774,0.985
rough,td3,0.876,0.027,1.0,1.384,0.144,8.176,0.982
rough,trpo,0.875,0.255,0.667,1.3,0.154,30.958,0.982
stairs,ppo,1.041,0.006,1.0,1.279,0.211,9.894,0.995
stairs,sac,0.988,0.025,1.0,1.063,0.177,9.536,0.995
stairs,td3,0.956,0.076,0.333,1.198,0.163,11.329,0.981
stairs,trpo,1.092,0.012,1.0,1.222,0.183,10.503,0.998
