Terrain,Algorithm,Steps to 0.8 m/s (M),Censored,Wall-Clock (min),Throughput (steps/s),Normalized AUC
flat,ppo,7.05,0/3,1.1,80492,0.92
flat,sac,0.42,0/3,5.5,1221,0.79
flat,td3,0.38,1/3,3.2,1903,0.63
flat,trpo,32.41,0/3,4.7,87063,0.75
rough,ppo,10.03,1/3,1.1,152689,0.72
rough,sac,0.83,0/3,11.0,1249,0.8
rough,td3,0.5,0/3,4.1,1976,0.77
rough,trpo,32.54,1/3,4.4,119055,0.63
stairs,ppo,13.37,0/3,1.5,133575,0.91
stairs,sac,0.5,0/3,6.5,1246,0.87
stairs,td3,0.5,0/3,4.1,1960,0.84
stairs,trpo,18.38,0/3,2.6,106030,0.89
