Terrain,Algorithm,Velocity (m/s),SD,Success Rate,Falls (/min),Cost of Transport
flat,PPO,0.855,0.231,0.667,52.632,0.709
flat,SAC,0.649,0.282,0.633,6.692,1.158
flat,TD3,0.079,0.056,0.0,0.0,5.524
flat,TRPO,0.731,0.021,0.0,43.669,0.806
rough,PPO,0.651,0.407,0.55,69.083,1.182
rough,SAC,0.574,0.212,0.117,25.849,1.368
rough,TD3,0.202,0.043,0.017,14.85,3.881
rough,TRPO,0.77,0.059,0.0,63.186,0.932
stairs,PPO,0.753,0.174,0.0,65.094,1.045
stairs,SAC,0.493,0.461,0.25,6.302,1.656
stairs,TD3,0.176,0.161,0.0,35.585,2.449
stairs,TRPO,0.498,0.421,0.0,30.373,0.908
