Setting,Metric,n,PPO,LLM-PPO,Paired Δ,p (paired t),Cohen's d
Rough (hard),Objective J,3,1.084 ± 0.593,1.645 ± 0.016,0.562,0.248,0.93
Rough (hard),Success Rate,3,0.681 ± 0.529,0.980 ± 0.007,0.299,0.433,0.56
Rough (hard),Forward Velocity (m/s),3,0.805 ± 0.131,1.329 ± 0.019,0.524,0.024,3.63
Rough (hard),Cost of Transport,3,2.467 ± 0.270,1.844 ± 0.075,-0.623,0.048,-2.55
Rough (hard),Falls (/min),3,17.528 ± 29.242,0.649 ± 0.265,-16.879,0.426,-0.57
Rough (hard),Path Efficiency,3,0.945 ± 0.052,0.978 ± 0.002,0.033,0.387,0.63
Rough (hard),Attitude RMS (rad),3,0.161 ± 0.084,0.135 ± 0.002,-0.026,0.637,-0.32
Rough (hard),Steps to Success 0.5 (M),2,17 / 17 / —,12 / 14 / 13,-3.932,0.156,-2.83
Stairs (medium),Objective J,3,1.093 ± 0.021,1.251 ± 0.064,0.157,0.067,2.12
Stairs (medium),Success Rate,3,0.646 ± 0.025,0.637 ± 0.082,-0.009,0.887,-0.09
Stairs (medium),Forward Velocity (m/s),3,0.895 ± 0.024,1.228 ± 0.054,0.333,0.016,4.55
Stairs (medium),Cost of Transport,3,1.510 ± 0.083,1.313 ± 0.102,-0.197,0.009,-5.90
Stairs (medium),Falls (/min),3,4.239 ± 0.292,6.037 ± 1.714,1.798,0.245,0.94
Stairs (medium),Path Efficiency,3,0.961 ± 0.024,0.954 ± 0.048,-0.007,0.867,-0.11
Stairs (medium),Attitude RMS (rad),3,0.188 ± 0.020,0.171 ± 0.007,-0.017,0.401,-0.61
Stairs (medium),Steps to Success 0.5 (M),3,25 / 29 / 29,21 / 15 / 24,-7.700,0.137,-1.39
"Rough (medium), naive reward",Objective J,3,0.117 ± 0.001,1.682 ± 0.024,1.566,0.000,61.86
"Rough (medium), naive reward",Success Rate,3,0.000 ± 0.000,0.992 ± 0.010,0.992,0.000,96.00
"Rough (medium), naive reward",Forward Velocity (m/s),3,0.233 ± 0.002,1.381 ± 0.032,1.147,0.000,34.07
"Rough (medium), naive reward",Cost of Transport,3,0.812 ± 0.096,1.227 ± 0.087,0.415,0.009,5.98
"Rough (medium), naive reward",Falls (/min),3,221.230 ± 1.056,0.522 ± 0.599,-220.708,0.000,-151.68
"Rough (medium), naive reward",Path Efficiency,3,0.825 ± 0.015,0.982 ± 0.001,0.157,0.004,9.71
"Rough (medium), naive reward",Attitude RMS (rad),3,0.139 ± 0.003,0.131 ± 0.002,-0.007,0.074,-2.01
"Rough (medium), naive reward",Steps to Success 0.5 (M),0,— / — / —,7 / 28 / 7,,,
