Setting,Metric,n,PPO,"LLM-PPO (v7p, evolve4)",Paired Δ,p (paired t),Cohen's d
Rough (hard),Objective J,3,1.069 ± 0.600,1.635 ± 0.012,0.565,0.244,0.94
Rough (hard),Success Rate,3,0.661 ± 0.529,0.977 ± 0.010,0.315,0.418,0.58
Rough (hard),Forward Velocity (m/s),3,0.815 ± 0.141,1.316 ± 0.035,0.501,0.019,4.09
Rough (hard),Cost of Transport,3,2.490 ± 0.384,1.901 ± 0.070,-0.589,0.103,-1.66
Rough (hard),Falls (/min),3,16.449 ± 26.097,0.763 ± 0.204,-15.686,0.404,-0.61
Rough (hard),Path Efficiency,3,0.951 ± 0.049,0.980 ± 0.002,0.029,0.399,0.61
Rough (hard),Attitude RMS (rad),3,0.163 ± 0.086,0.140 ± 0.011,-0.023,0.672,-0.28
Rough (hard),Steps to Success 0.5 (M),2,17 / 17 / —,13 / 12 / 14,-4.424,0.070,-6.36
Stairs (medium),Objective J,3,1.020 ± 0.024,0.913 ± 0.350,-0.107,0.667,-0.29
Stairs (medium),Success Rate,3,0.576 ± 0.018,0.424 ± 0.195,-0.151,0.331,-0.73
Stairs (medium),Forward Velocity (m/s),3,0.888 ± 0.023,0.976 ± 0.310,0.088,0.692,0.26
Stairs (medium),Cost of Transport,3,1.520 ± 0.098,1.435 ± 0.282,-0.085,0.732,-0.23
Stairs (medium),Falls (/min),3,4.943 ± 0.323,8.605 ± 2.256,3.663,0.108,1.61
Stairs (medium),Path Efficiency,3,0.970 ± 0.000,0.971 ± 0.014,0.001,0.899,0.08
Stairs (medium),Attitude RMS (rad),3,0.155 ± 0.024,0.198 ± 0.041,0.043,0.086,1.84
Stairs (medium),Steps to Success 0.5 (M),2,27 / 24 / 30,29 / 34 / —,5.997,0.369,1.08
"Rough (medium), naive reward",Objective J,3,0.117 ± 0.001,1.693 ± 0.018,1.576,0.000,81.70
"Rough (medium), naive reward",Success Rate,3,0.000 ± 0.000,0.991 ± 0.006,0.991,0.000,166.06
"Rough (medium), naive reward",Forward Velocity (m/s),3,0.233 ± 0.002,1.403 ± 0.031,1.170,0.000,36.51
"Rough (medium), naive reward",Cost of Transport,3,0.812 ± 0.096,1.144 ± 0.117,0.332,0.083,1.88
"Rough (medium), naive reward",Falls (/min),3,221.230 ± 1.056,1.506 ± 0.905,-219.725,0.000,-130.46
"Rough (medium), naive reward",Path Efficiency,3,0.825 ± 0.015,0.983 ± 0.002,0.158,0.004,8.98
"Rough (medium), naive reward",Attitude RMS (rad),3,0.139 ± 0.003,0.101 ± 0.008,-0.038,0.006,-7.26
"Rough (medium), naive reward",Steps to Success 0.5 (M),0,— / — / —,8 / 12 / 8,,,
